,territory,alpha3,first_day,units,paper,population
0,Afghanistan,AFG,sat,metric,A4,39.07
1,Aland Islands,ALA,mon,metric,A4,
2,Albania,ALB,mon,metric,A4,2.87
3,Algeria,DZA,sat,metric,A4,44.04
4,American Samoa,ASM,sun,metric,A4,
5,Andorra,AND,mon,metric,A4,0.08
6,Angola,AGO,mon,metric,A4,33.45
7,Anguilla,AIA,mon,metric,A4,
8,Antarctica,ATA,mon,metric,A4,
9,Antigua & Barbuda,ATG,sun,metric,A4,0.09
10,Argentina,ARG,mon,metric,A4,45.19
11,Armenia,ARM,mon,metric,A4,2.89
12,Aruba,ABW,mon,metric,A4,
13,Ascension Island,ASC,mon,metric,A4,
14,Australia,AUS,mon,metric,A4,25.74
15,Austria,AUT,mon,metric,A4,8.92
16,Azerbaijan,AZE,mon,metric,A4,10.18
17,Bahamas,BHS,sun,US,A4,0.4
18,Bahrain,BHR,sat,metric,A4,1.48
19,Bangladesh,BGD,sun,metric,A4,166.3
20,Barbados,BRB,mon,metric,A4,0.28
21,Belarus,BLR,mon,metric,A4,9.35
22,Belgium,BEL,mon,metric,A4,11.54
23,Belize,BLZ,sun,US,US-Letter,0.39
24,Benin,BEN,mon,metric,A4,13.07
25,Bermuda,BMU,mon,metric,A4,
26,Bhutan,BTN,sun,metric,A4,0.77
27,Bolivia,BOL,mon,metric,A4,11.82
28,Bosnia & Herzegovina,BIH,mon,metric,A4,3.3
29,Botswana,BWA,sun,metric,A4,2.37
30,Bouvet Island,BVT,mon,metric,A4,
31,Brazil,BRA,sun,metric,A4,208.66
32,British Indian Ocean Territory,IOT,mon,metric,A4,
33,British Virgin Islands,VGB,mon,metric,A4,
34,Brunei,BRN,mon,metric,A4,0.45
35,Bulgaria,BGR,mon,metric,A4,6.93
36,Burkina Faso,BFA,mon,metric,A4,21.48
37,Burundi,BDI,mon,metric,A4,12.62
38,Cambodia,KHM,sun,metric,A4,16.73
39,Cameroon,CMR,mon,metric,A4,26.21
40,Canada,CAN,sun,metric,US-Letter,38.17
41,Canary Islands,,mon,metric,A4,
42,Cape Verde,CPV,mon,metric,A4,0.51
43,Caribbean Netherlands,BES,mon,metric,A4,
44,Cayman Islands,CYM,mon,US,A4,
45,Central African Republic,CAF,mon,metric,A4,5.03
46,Ceuta & Melilla,,mon,metric,A4,
47,Chad,TCD,mon,metric,A4,17.22
48,Chile,CHL,mon,metric,US-Letter,19.37
49,China,CHN,mon,metric,A4,1426.11
50,Christmas Island,CXR,mon,metric,A4,
51,Clipperton Island,CPT,mon,metric,A4,
52,Cocos (Keeling) Islands,CCK,mon,metric,A4,
53,Colombia,COL,sun,metric,US-Letter,50.63
54,Comoros,COM,mon,metric,A4,0.8
55,Congo - Brazzaville,COG,mon,metric,A4,5.75
56,Congo - Kinshasa,COD,mon,metric,A4,95.99
57,Cook Islands,COK,mon,metric,A4,
58,Costa Rica,CRI,mon,metric,US-Letter,5.03
59,Cote d’Ivoire,CIV,mon,metric,A4,28.92
60,Croatia,HRV,mon,metric,A4,3.95
61,Cuba,CUB,mon,metric,A4,11.18
62,Curacao,CUW,mon,metric,A4,
63,Cyprus,CYP,mon,metric,A4,1.3
64,Czechia,CZE,mon,metric,A4,10.55
65,Denmark,DNK,mon,metric,A4,5.83
66,Diego Garcia,DGA,mon,metric,A4,
67,Djibouti,DJI,sat,metric,A4,1.11
68,Dominica,DMA,sun,metric,A4,0.07
69,Dominican Republic,DOM,sun,metric,A4,11.01
70,Ecuador,ECU,mon,metric,A4,17.55
71,Egypt,EGY,sat,metric,A4,109.32
72,El Salvador,SLV,sun,metric,US-Letter,6.23
73,Equatorial Guinea,GNQ,mon,metric,A4,1.72
74,Eritrea,ERI,mon,metric,A4,3.29
75,Estonia,EST,mon,metric,A4,1.33
76,Eswatini,SWZ,mon,metric,A4,1.19
77,Ethiopia,ETH,sun,metric,A4,118.92
78,Falkland Islands,FLK,mon,metric,A4,
79,Faroe Islands,FRO,mon,metric,A4,
80,Fiji,FJI,mon,metric,A4,0.91
81,Finland,FIN,mon,metric,A4,5.53
82,France,FRA,mon,metric,A4,65.91
83,French Guiana,GUF,mon,metric,A4,
84,French Polynesia,PYF,mon,metric,A4,
85,French Southern Territories,ATF,mon,metric,A4,
86,Gabon,GAB,mon,metric,A4,2.32
87,Gambia,GMB,mon,metric,A4,2.52
88,Georgia,GEO,mon,metric,A4,3.8
89,Germany,DEU,mon,metric,A4,83.63
90,Ghana,GHA,mon,metric,A4,31.89
91,Gibraltar,GIB,mon,metric,A4,
92,Greece,GRC,mon,metric,A4,10.7
93,Greenland,GRL,mon,metric,A4,
94,Grenada,GRD,mon,metric,A4,0.12
95,Guadeloupe,GLP,mon,metric,A4,
96,Guam,GUM,sun,metric,A4,
97,Guatemala,GTM,sun,metric,US-Letter,17.36
98,Guernsey,GGY,mon,metric,A4,
99,Guinea,GIN,mon,metric,A4,13.37
100,Guinea-Bissau,GNB,mon,metric,A4,2.01
101,Guyana,GUY,mon,metric,A4,0.81
102,Haiti,HTI,mon,metric,A4,11.24
103,Heard & McDonald Islands,HMD,mon,metric,A4,
104,Honduras,HND,sun,metric,A4,10.12
105,Hong Kong SAR China,HKG,sun,metric,A4,7.49
106,Hungary,HUN,mon,metric,A4,9.75
107,Iceland,ISL,mon,metric,A4,0.37
